title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Great design!,Love the quirky design on this shirt.,5,07/15/2023,Rahul S.,rahul***@gmail.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Perfect fit,The size chart was accurate and the shirt fits perfectly.,5,06/05/2023,Emily J.,emily***@gmail.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Comfy and stylish,This shirt is so comfortable and the design adds a touch of style.,4,06/12/2023,Amar G.,amar***@gmail.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Quality material,The cotton material feels buttery soft and is of high quality.,5,07/07/2023,Sophia M.,sophia***@yahoo.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Versatile design,I can wear this shirt for casual outings or dress it up for special occasions.,4,06/20/2023,Ravi K.,ravi***@hotmail.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Great colors!,The range of colors available is impressive.,4,06/16/2023,Megan L.,megan***@outlook.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Durable and long-lasting,I've been wearing this shirt regularly and it still looks brand new.,5,07/01/2023,Rajesh C.,rajesh***@gmail.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Great gift idea,Bought this shirt as a gift for my friend and they loved it!,5,07/20/2023,Naomi B.,naomi***@gmail.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Unisex design,I love that this shirt can be worn by anyone regardless of gender.,4,06/08/2023,Sanjay P.,sanjay***@yahoo.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Perfect for summer,"The cotton material is lightweight and breathable, ideal for hot weather.",5,07/10/2023,Olivia W.,olivia***@gmail.com,7908947951865,classic-unisex-graphic-t-shirt-graphic-tees,,
Amazing Hoodie!,I love this hoodie! It's so comfortable and the design is amazing.,5,06/12/2023,Ravi Patel,ravi****@gmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Great Quality,The print quality on this hoodie is excellent. It hasn't faded or cracked after multiple washes.,4,07/06/2023,Emma Green,emma****@hotmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Comfortable and Stylish,"This hoodie not only looks great, but it's also incredibly comfortable. Perfect for lounging around or going out.",5,06/25/2023,Anjali Gupta,anjali****@yahoo.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Unique Design,I get so many compliments on this hoodie. The design is eye-catching and different from anything I've seen before.,5,06/06/2023,Daniel Thompson,daniel****@gmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Soft and Cozy,The material of this hoodie is super soft and cozy. I love wearing it on chilly days.,4,06/18/2023,Mira Shah,mira****@gmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Perfect Fit,"I was worried about the fit, but this hoodie fits perfectly. Not too tight, not too baggy.",5,06/02/2023,Sophia Anderson,sophia****@outlook.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Great Gift,"I bought this hoodie as a gift for my brother, and he absolutely loves it. It's his new favorite hoodie!",5,06/15/2023,Aarav Patel,aarav****@gmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Great Value,"Considering the quality and design of this hoodie, it's definitely worth the price. I'm very happy with my purchase.",4,07/01/2023,Luna Rodriguez,luna****@yahoo.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Great Customer Service,I had a question about my order and the customer service team was quick to respond and very helpful. Excellent service!,5,06/09/2023,Arjun Das,arjun****@hotmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Beautiful Design,The design on this hoodie is absolutely stunning. It's a great way to show my love for India during the World Cup.,5,06/28/2023,Olivia Taylor,olivia****@gmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Fast Shipping,I was surprised at how quickly this hoodie arrived. It was shipped and delivered in just a few days.,4,06/20/2023,Aarav Patel,aarav****@yahoo.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Great Fit,"I'm usually between sizes, but this hoodie fits me perfectly. It's comfortable and flattering.",5,06/04/2023,Aanya Sharma,aanya****@gmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Love the Material,"The blend of cotton and polyester in this hoodie is great. It's soft, breathable, and doesn't shrink in the wash.",4,07/13/2023,Ethan Wilson,ethan****@outlook.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Eye-Catching Design,I love the attention to detail in the design of this hoodie. It really stands out and makes a statement.,5,06/23/2023,Zara Khan,zara****@yahoo.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Excellent Purchase,"This hoodie exceeded my expectations. The quality, fit, and design are all top-notch. Highly recommend!",5,06/08/2023,Lucas Brown,lucas****@gmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Great for World Cup Fans,"If you're a fan of the World Cup, this hoodie is a must-have. It's comfortable and shows off your support for India.",4,07/03/2023,Aditi Patel,aditi****@hotmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Cozy and Warm,"This hoodie keeps me warm on cold days. The material is thick and cozy, perfect for winter.",5,06/13/2023,Emily Chen,emily****@gmail.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
Unique and Stylish,I love how this hoodie combines unique design with stylish comfort. It's perfect for everyday wear.,5,06/30/2023,Kiran Patel,kiran****@outlook.com,7975565787385,custom-india-hoodie-premium-graphic-hoodie-for-men-and-women,,
