title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Great hoodie!,Love the design and the fit.,5,06/01/2023,Rajesh,rajesh****@gmail.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Amazing quality,The fabric feels soft and comfortable.,5,06/05/2023,Jennifer,jennifer****@hotmail.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Unique design,Received so many compliments on this hoodie.,5,06/10/2023,Aryan,aryan****@yahoo.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Great for workouts,I wear this hoodie to the gym and it's perfect for a workout.,5,06/15/2023,Priya,priya****@gmail.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Very stylish,I love the graphic design on this hoodie. It adds a cool touch to any outfit.,5,06/20/2023,John,john****@outlook.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Comfortable and cozy,The material is so soft and warm. Perfect for chilly days.,5,06/25/2023,Manisha,manisha****@rediffmail.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Excellent customer service,Had an issue with my order and the customer service team resolved it quickly. Very impressed.,5,07/01/2023,Priyanshu,priyanshu****@gmail.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Great fit,The hoodie fits perfectly and is true to size.,5,07/05/2023,Emma,emma****@yahoo.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Good value for money,"Considering the quality and design, this hoodie is a great deal.",4,07/10/2023,Sandeep,sandeep****@gmail.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Love the colors,The vibrant colors of the graphic design really stand out. I get compliments everywhere I go.,5,07/15/2023,Sofia,sofia****@hotmail.com,7838105633017,graphic-hoodie-for-men-and-women-selfcare,,
Awesome t-shirt!,Love the quirky design and comfortable fit.,5,07/12/2023,Sneha K.,snehak****@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Great quality,The material is soft and durable. Perfect for everyday wear.,4,06/15/2023,Emily S.,emilys********@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Unique design,I always get compliments whenever I wear this t-shirt. The design stands out!,5,06/18/2023,Rohan M.,rohanm*****@yahoo.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Comfy and stylish,I love the comfort of this t-shirt while still looking trendy. It's a great addition to my wardrobe!,4,06/26/2023,Liam G.,liamg****@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Perfect fit,"I'm always skeptical about buying clothes online, but this t-shirt fits me perfectly! Very happy with my purchase.",5,07/02/2023,Aarav P.,aaravp*****@yahoo.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Great colors,I bought this t-shirt in multiple colors and they all look vibrant and attractive. Love the options!,4,06/10/2023,Sophie B.,sophieb******@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Unique and comfortable,This t-shirt not only has a unique design but is also very comfortable to wear. Definitely recommend it!,5,07/06/2023,Kiran R.,kiranr******@yahoo.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Great value for money,"Considering the quality and design of this t-shirt, it's definitely worth the price. Happy with my purchase!",4,06/21/2023,Ella W.,ellaw*****@hotmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Versatile and stylish,I can wear this t-shirt for any occasion - casual or dressy. The design adds a touch of style to any outfit.,5,06/28/2023,Vikram S.,vikrams*****@yahoo.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Great conversation starter,"Whenever I wear this t-shirt, people always ask me about the quirky design. It's a fun icebreaker!",4,07/14/2023,Aditi M.,aditim*****@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Easy to style,"This t-shirt goes well with jeans, skirts, and even shorts. It's so easy to create different looks with it!",5,06/12/2023,Abdul H.,abdulh****@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Comfortable for all-day wear,I can wear this t-shirt for hours without feeling any discomfort. It's perfect for long days out!,4,07/10/2023,Olivia L.,olivial*****@yahoo.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Eye-catching design,The quirky design on this t-shirt never fails to grab attention. It's a statement piece!,5,06/17/2023,Rajesh K.,rajeshk*****@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Perfect casual t-shirt,I wear this t-shirt whenever I want to feel comfortable and still look stylish. It's my go-to!,4,06/25/2023,Isabella M.,isabellam******@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Love the fit,"I have a hard time finding t-shirts that fit me well, but this one is perfect. The sizing is accurate.",5,07/01/2023,Aarav S.,aaravs******@yahoo.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Highly recommended,"If you're looking for a unique and comfortable t-shirt, this is the one. I'm very happy with my purchase.",4,06/09/2023,Lila K.,lilak******@hotmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
Great gift idea,I bought this t-shirt as a gift for my friend and she absolutely loves it. It's a unique and thoughtful present.,5,07/05/2023,Aryan P.,aryanp*****@gmail.com,7904121389305,copy-of-good-vibes-unisex-graphic-t-shirt-graphic-tees,,
