title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Great Hoodie!,I love this hoodie! The graphic design is eye-catching and the material is durable. Highly recommend!,5,06/05/2023,Rajesh K.,raj*shkumar80@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Comfortable and Stylish,This hoodie is both comfortable and stylish. The ribbed cuffs and hem provide a perfect fit. Love it!,5,06/10/2023,Emily P.,emil*park37@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Impressive Quality,The TORCC graphic hoodie exceeded my expectations. The craftsmanship and design are top-notch. Highly satisfied!,5,06/15/2023,Akshay M.,ak*hay1@hotmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Perfect for Casual Wear,I bought this hoodie for casual wear and it's fantastic. The blend of cotton and polyester feels great and the fit is perfect.,4,06/20/2023,Daniel W.,da*ielwong@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Unique Design,I love how the graphic design of this hoodie sets me apart from the crowd. Definitely a unique piece!,5,06/25/2023,Sneha D.,s*eha.dutta@hotmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Great Fit,This hoodie fits perfectly! The ribbed cuffs and hem add a nice touch of style. Highly recommend!,5,07/05/2023,Gaurav S.,ga*rav.singh@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Excellent Sweatshirt,The TORCC graphic hoodie is an excellent sweatshirt. The cotton-polyester blend is comfortable and the design is eye-catching.,5,07/10/2023,Sophia M.,soph*marie18@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Perfect for Active Endeavours,I wear this hoodie during my workouts and it's perfect. The material is durable and it provides great comfort and flexibility.,4,07/15/2023,Pranav J.,pran*123@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Fantastic Design,The graphic design on this hoodie is fantastic. It really catches people's attention. Love it!,5,07/20/2023,Emma B.,emma*brown@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Cozy and Fashionable,This hoodie is not only cozy but also fashionable. It's the perfect combination for a stylish look.,5,07/25/2023,Rohit S.,rohit*singh@hotmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Top-Notch Quality,I am impressed with the top-notch quality of this hoodie. The design is unique and the fit is perfect.,5,08/05/2023,Amina K.,ami*a.khan@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Stylish and Comfortable,I love how stylish and comfortable this hoodie is. Perfect for everyday wear!,5,08/10/2023,Liam C.,li*m98@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Great Value for Money,This hoodie offers great value for money. The quality and design are excellent. Highly satisfied!,5,08/15/2023,Aditi G.,adi*i.gupta@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Eye-Catching Design,The eye-catching design of this hoodie is what drew me to it. The quality and fit are excellent as well.,4,08/20/2023,Mason L.,mason*lucas@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Comfortable Fit,This hoodie has a comfortable fit and the ribbed cuffs and hem add a nice touch. Highly recommend!,5,08/25/2023,Aarav S.,aar*v.singh@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Fantastic Hoodie,This is a fantastic hoodie. The graphic design is attention-grabbing and the material is of high quality.,5,09/05/2023,Sarah B.,sar*h.brown@gmail.com,7797035106553,1834-graphic-hoodie-for-men-and-women,,
Great T-shirt!,Love the quirky design and comfortable fit.,5,06/12/2023,Rajesh Kumar,rajesh****@gmail.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Impressive quality,The buttery cotton material feels amazing and the t-shirt is very durable.,5,07/05/2023,Emily Smith,emily****@yahoo.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Versatile and stylish,Great for both casual and dressy occasions. Love the design options and color choices.,4,06/24/2023,Aarav Patel,aarav****@hotmail.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Comfortable and trendy,The t-shirt is super comfortable and the design is unique. Definitely recommend!,5,06/08/2023,Sophia Brown,sophia****@gmail.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Perfect for any occasion,I wear this t-shirt to work and outings. It's comfortable and looks great with jeans or skirts.,4,06/18/2023,Akash Sharma,akash****@outlook.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Fantastic design,The quirky design on the t-shirt is eye-catching and fun. Love the colors!,4,07/15/2023,Liam Thompson,liam****@gmail.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Highly recommended,Great quality and fits perfectly. Very happy with my purchase.,5,06/05/2023,Anika Patel,anika****@yahoo.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Unique and comfortable,The design on this t-shirt stands out and the material feels soft and comfortable.,4,06/14/2023,Rohan Joshi,rohan****@hotmail.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Love the colors,The range of colors available for this t-shirt is impressive. I bought two!,5,06/30/2023,Isabella White,isabella****@gmail.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
Well-made and stylish,The attention to detail in the design is incredible. The t-shirt fits perfectly.,5,07/02/2023,Arnav Sharma,arnav****@outlook.com,7908279320825,aloha-unisex-graphic-t-shirt-graphic-tees,,
