title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Love it!,This sweatshirt is so comfortable and the design is super cool. Love wearing it!,5,06/12/2023,Rajesh,raj***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
Great quality,I bought this sweatshirt a month ago and it still looks brand new. The material is really good.,5,07/04/2023,Emma,emma***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
Awesome design,The graphic print on this sweatshirt is so eye-catching. I've received many compliments on it.,4,06/18/2023,Sanjay,sanj***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
Comfortable and stylish,I love how soft and cozy this sweatshirt is. It's my go-to for casual outings.,5,06/08/2023,Emily,emi***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
Perfect fit,The sizing of this sweatshirt is spot on. It's not too tight and not too loose.,4,07/12/2023,Aarav,aar***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
Great for workouts,I wear this sweatshirt to the gym and it's perfect for my workouts. It allows me to move freely.,4,06/22/2023,Sophia,soph***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
Unique design,I love that this sweatshirt has a quirky design. It adds a fun element to my outfits.,5,07/01/2023,Arjun,arj***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
My favorite sweatshirt,"Out of all the sweatshirts I own, this one is definitely my favorite. It's so comfortable!",5,06/14/2023,Isha,ish***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
Nice print,The print on this sweatshirt is really nice and adds a cool vibe to any outfit.,4,06/06/2023,David,dav***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
Super comfortable,"I could live in this sweatshirt, it's that comfortable. Highly recommend it.",5,07/10/2023,Sahana,sah***@gmail.com,7900146565369,keep-it-rollin-sweatshirt-for-men-and-women,,
