title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
So cozy!,This sweatshirt is super soft and comfortable. Love it!,5,09/15/2023,Anjali,anjali*****@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Great quality,The fabric is nice and thick. Perfect for colder days.,4,06/12/2023,Ethan,eth***@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Perfect fit,I love the classic fit of this sweatshirt. It's not too tight or too loose.,5,07/21/2023,Riya,riya***@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Cozy and stylish,This sweatshirt keeps me warm and looks great with any outfit.,5,06/08/2023,Liam,li***@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Great value,I'm impressed with the quality of this sweatshirt at such an affordable price.,4,08/02/2023,Anushka,anushka*****@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Love it!,This sweatshirt is my new favorite. It's so comfortable and looks stylish.,5,09/02/2023,Oliver,oli***@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Highly recommended,"I would definitely recommend this sweatshirt. It's warm, cozy, and well-made.",5,07/05/2023,Aarav,aarav*****@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Great for layering,I wear this sweatshirt as a layering piece and it adds the perfect amount of warmth.,4,08/20/2023,Aria,ari***@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Comfy and versatile,This sweatshirt is comfortable for lounging at home and also looks good for running errands.,5,06/22/2023,Rahul,rah***@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
Great design,The design of this sweatshirt is simple and timeless. I love it!,4,07/17/2023,Emma,em***@gmail.com,7805111959801,1834-sweatshirt-for-men-and-women,,
