product_handle,status,content,rating,photo_url,name,country,email,created_at
copy-of-black-oversized-shirts-for-men-and-women,,"Absolutely love the oversized t-shirts! They are so comfy and stylish, perfect for a casual day out.",5,,Akanksha Patel,,akanksha*123@gmail.com,2023-12-24
copy-of-black-oversized-shirts-for-men-and-women,,The oversized t-shirts are great quality and the fit is just perfect. Definitely recommend!,4,,Rahul Mehta,,rahul*456@gmail.com,2024-01-15
copy-of-black-oversized-shirts-for-men-and-women,,I purchased the black oversized t-shirt and it's my new favorite. The fabric is super soft!,5,,Neha Shah,,neha*789@gmail.com,2023-12-29
copy-of-black-oversized-shirts-for-men-and-women,,These oversized t-shirts are a must-have in every wardrobe. They are versatile and trendy.,5,,Amit Kumar,,amit*654@gmail.com,2024-02-10
copy-of-black-oversized-shirts-for-men-and-women,,"I love the oversized white t-shirt, it goes well with everything. Perfect for all occasions!",5,,Priya Singh,,priya*321@gmail.com,2024-03-05
copy-of-black-oversized-shirts-for-men-and-women,,"The oversized t-shirts are exactly what I was looking for. Comfortable and stylish, great purchase!",4,,Rajesh Khanna,,rajesh*987@gmail.com,2024-01-29
copy-of-black-oversized-shirts-for-men-and-women,,The pink oversized t-shirt is so cute! I get so many compliments when I wear it.,5,,Meera Desai,,meera*567@gmail.com,2024-02-20
copy-of-black-oversized-shirts-for-men-and-women,,I bought the grey oversized t-shirt and it's amazing quality. Super happy with my purchase!,4,,Vivek Sharma,,vivek*234@gmail.com,2023-12-18
copy-of-black-oversized-shirts-for-men-and-women,,The off white oversized t-shirt is a staple in my wardrobe now. Love how versatile it is!,5,,Pooja Patel,,pooja*890@gmail.com,2024-03-15
copy-of-black-oversized-shirts-for-men-and-women,,Really impressed with the quality of the oversized t-shirts. Will definitely be buying more in other colors.,5,,Sandeep Verma,,sandeep*543@gmail.com,2024-04-05
copy-of-black-oversized-shirts-for-men-and-women,,"The oversized beach t-shirt is perfect for summer days. Light and airy, great for the beach!",4,,Ayesha Khan,,ayesha*876@gmail.com,2024-02-25
copy-of-black-oversized-shirts-for-men-and-women,,I love the baggy oversized t-shirt. It's so comfy and looks effortlessly cool.,5,,Karan Mehta,,karan*876@gmail.com,2023-12-17
copy-of-black-oversized-shirts-for-men-and-women,,The white oversized t-shirt is a classic piece for any wardrobe. Can be styled in so many ways!,5,,Nisha Singh,,nisha*546@gmail.com,2024-01-05
copy-of-black-oversized-shirts-for-men-and-women,,The basics oversized t-shirts are a must-buy. They are so comfortable and stylish.,5,,Gaurav Sharma,,gaurav*765@gmail.com,2024-03-10
copy-of-black-oversized-shirts-for-men-and-women,,Bought the black oversized t-shirt with cargo pants and it's the perfect combo for a casual look.,4,,Anjali Malhotra,,anjali*098@gmail.com,2024-02-15
copy-of-black-oversized-shirts-for-men-and-women,,The oversized t-shirts are so soft and comfortable. Absolutely love the fit!,5,,Ravi Deshmukh,,ravi*098@gmail.com,2024-01-22
copy-of-black-oversized-shirts-for-men-and-women,,The yellow oversized t-shirt adds a pop of color to any outfit. Love the vibrant shade!,5,,Mehak Kapoor,,mehak*456@gmail.com,2023-12-30
copy-of-black-oversized-shirts-for-men-and-women,,I purchased the cream color oversized t-shirt and it's such a chic addition to my wardrobe.,4,,Arun Singh,,arun*456@gmail.com,2024-03-25
copy-of-black-oversized-shirts-for-men-and-women,,The green oversized t-shirt is a unique piece that stands out. Great for a casual day out.,4,,Kavita Reddy,,kavita*234@gmail.com,2024-04-10
copy-of-black-oversized-shirts-for-men-and-women,,The drop shoulder oversized t-shirt is my new favorite. It's trendy and super comfortable.,5,,Amita Choudhary,,amita*789@gmail.com,2024-02-05
off-white-oversized-shirts-for-men-and-women,,Absolutely love the Off White Oversized T-shirts! They are so comfy and stylish. Perfect for casual outings.,5,,Ananya Sharma,India,ananya****@gmail.com,2023-12-15
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are a great addition to my wardrobe. Love the oversized fit and the quality is fantastic.,4,,Rohan Patel,India,rohan****@yahoo.com,2024-02-28
off-white-oversized-shirts-for-men-and-women,,Received my Off White Oversized T-shirts and I couldn't be happier! The fabric is soft and the fit is just perfect.,5,,Priya Singh,India,priya****@outlook.com,2023-12-20
off-white-oversized-shirts-for-men-and-women,,Bought the Off White Oversized T-shirts for my husband and he loves them! The oversized look is spot on and the fabric is very comfortable.,4,,Amit Kapoor,India,amit****@gmail.com,2024-01-10
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are a must-have for anyone who loves oversized tees. They are super trendy and look great with any bottoms.,5,,Neha Gupta,India,neha****@hotmail.com,2024-03-17
off-white-oversized-shirts-for-men-and-women,,I adore the Off White Oversized T-shirts! They are my new go-to for a relaxed and cool look. Highly recommend!,5,,Harish Sharma,India,harish****@gmail.com,2024-02-15
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are super comfy and the oversized style is on point. Love wearing them on lazy days.,4,,Sneha Reddy,India,sneha****@yahoo.com,2023-12-28
off-white-oversized-shirts-for-men-and-women,,Ordered the Off White Oversized T-shirts and they exceeded my expectations! The fit is amazing and the fabric is top-notch.,5,,Vivek Verma,India,vivek****@outlook.com,2024-03-05
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are so versatile! I can dress them up or down and they always look great.,4,,Aishwarya Prasad,India,aishwarya****@gmail.com,2024-01-20
off-white-oversized-shirts-for-men-and-women,,I'm in love with the Off White Oversized T-shirts! They are perfect for those days when I want to be comfortable yet stylish.,5,,Rajesh Kumar,India,rajesh****@hotmail.com,2024-03-28
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are a wardrobe essential! The fabric is great quality and the fit is just what I was looking for.,4,,Shreya Menon,India,shreya****@gmail.com,2024-02-10
off-white-oversized-shirts-for-men-and-women,,These Off White Oversized T-shirts are fantastic! The oversized fit is so trendy and the material is really soft.,5,,Rahul Malhotra,India,rahul****@yahoo.com,2023-12-18
off-white-oversized-shirts-for-men-and-women,,I can't get enough of the Off White Oversized T-shirts! They are a must-have in every wardrobe for a chic and casual look.,5,,Priyanka Chauhan,India,priyanka****@outlook.com,2024-03-12
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are the best I've ever owned! The oversized style is so trendy and the fabric is top-notch.,4,,Akash Singh,India,akash****@gmail.com,2024-01-25
off-white-oversized-shirts-for-men-and-women,,"Absolutely love the Off White Oversized T-shirts! They are so comfy and chic, perfect for a day out with friends.",5,,Mitali Joshi,India,mitali****@hotmail.com,2024-04-05
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are fantastic! The oversized fit is just what I was looking for and the quality is amazing.,4,,Aryan Khanna,India,aryan****@gmail.com,2024-02-20
off-white-oversized-shirts-for-men-and-women,,"Received my Off White Oversized T-shirts and I'm impressed! The fit is great, and the fabric is so soft and comfortable.",5,,Meera Iyer,India,meera****@yahoo.com,2024-03-21
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are my new favorite! They are so versatile and easy to style for any occasion.,5,,Vikram Sharma,India,vikram****@outlook.com,2024-01-15
off-white-oversized-shirts-for-men-and-women,,Love the Off White Oversized T-shirts! They are super trendy and the oversized style is on point.,4,,Anjali Reddy,India,anjali****@gmail.com,2024-03-01
off-white-oversized-shirts-for-men-and-women,,"The Off White Oversized T-shirts are a must-have for summer! The fabric is lightweight, and the fit is perfect for hot days.",5,,Alok Rajput,India,alok****@hotmail.com,2024-02-05
off-white-oversized-shirts-for-men-and-women,,I'm obsessed with the Off White Oversized T-shirts! They are so comfy and look effortlessly stylish.,5,,Aditi Desai,India,aditi****@gmail.com,2024-01-30
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are a game-changer! Love how they elevate any casual outfit with their oversized fit.,4,,Aarav Patel,India,aarav****@yahoo.com,2024-04-10
off-white-oversized-shirts-for-men-and-women,,"The Off White Oversized T-shirts are my new favorites! The fit is perfect, and they are so easy to style for a cool look.",5,,Kirti Kapoor,India,kirti****@outlook.com,2024-03-10
off-white-oversized-shirts-for-men-and-women,,Absolutely adore the Off White Oversized T-shirts! They are a staple in my wardrobe now. The fit and quality are top-notch.,5,,Amita Singh,India,amita****@gmail.com,2024-01-05
off-white-oversized-shirts-for-men-and-women,,Purchased the Off White Oversized T-shirts and I'm loving them! The oversized style is so trendy and the fabric is very comfortable.,4,,Parth Mishra,India,parth****@hotmail.com,2024-03-25
off-white-oversized-shirts-for-men-and-women,,The Off White Oversized T-shirts are a must-buy! They are so versatile and can be styled in many different ways.,5,,Sapna Bansal,India,sapna****@gmail.com,2024-02-25
