title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Great T-Shirt!,Love the quirky design and comfortable fit.,5,06/02/2023,Rahul * * * * *,rahul*****@gmail.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Awesome graphic tee,This tee is super cool and stylish. I get compliments whenever I wear it.,5,06/05/2023,Kavya * * * * *,kavya*****@yahoo.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Impressed with the quality,The fabric is soft and the print is vibrant. Really happy with this purchase.,4,06/07/2023,Aditi * * * *,aditi*****@hotmail.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Perfect fit,I ordered my usual size and it fits me perfectly. The t-shirt is very comfortable to wear.,5,06/10/2023,Emma * * * * *,emma*****@gmail.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Unique design,The quirky design on this t-shirt is unlike anything I've seen before. Love it!,5,06/15/2023,Nikhil * * * * *,nikhil*****@gmail.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Comfortable and stylish,This t-shirt is not only comfortable but also adds a stylish touch to any outfit.,5,06/20/2023,Priya * * * * *,priya*****@gmail.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Great quality tee,The fabric feels great and the print hasn't faded after multiple washes.,4,06/25/2023,Sophia * * * *,sophia*****@yahoo.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Fun and quirky,I love wearing this t-shirt to show off my unique and fun personality.,5,07/01/2023,Ravi * * * * *,ravi*****@gmail.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Versatile design,"This t-shirt can be dressed up or down, making it perfect for various occasions.",4,07/05/2023,Lily * * * *,lily*****@hotmail.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Unique and comfortable,"I love how the quirky design makes this t-shirt stand out, and it's also very comfortable to wear.",5,07/10/2023,Arjun * * * * *,arjun*****@gmail.com,7909450449145,riddicactus-unisex-graphic-t-shirt-graphic-tees,,
Great protection!,"This case is perfect for protecting my phone, and it looks stylish too.",5,08/10/2023,Ravi S.,ravi***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Stylish and durable,I love how this case adds style to my phone while providing great protection.,5,07/15/2023,Emily L.,emily***@yahoo.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Excellent quality,"The dual-layer protection of this case is amazing, and it feels very sturdy.",5,06/05/2023,Vijay B.,vijay***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Lovely case,I'm impressed with the quality of this phone case. It fits perfectly and looks great.,4,09/05/2023,Priya K.,priya***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Well-designed protection,This case is well-designed and provides excellent protection for my phone.,5,07/23/2023,Daniel P.,daniel***@yahoo.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Fits perfectly,The precise port openings make it easy to use my phone with this case on.,4,06/12/2023,Aditi M.,aditi***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Awesome case,I am very happy with this phone case. It is tough and looks stylish.,5,06/01/2023,Justin R.,justin***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Great value,"For the price, this phone case offers great protection and durability.",4,06/20/2023,Ashwin S.,ashwin***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Very satisfied,I am very satisfied with the quality and design of this phone case.,5,07/05/2023,Emma W.,emma***@yahoo.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Highly recommended,I highly recommend this phone case for anyone looking for style and protection.,5,08/20/2023,Rahul K.,rahul***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Good purchase,I'm glad I purchased this phone case. It keeps my phone safe and looks great.,4,09/15/2023,Jennifer M.,jennifer***@yahoo.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Nice design,I love the design of this phone case. It adds a unique touch to my phone.,4,06/15/2023,Himanshu K.,himanshu***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Great purchase,I'm very happy with my purchase. This case is durable and looks fantastic.,5,06/25/2023,Lucy S.,lucy***@yahoo.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Perfect fit,This phone case fits my iPhone perfectly. It feels secure and offers great protection.,5,07/10/2023,Jack W.,jack***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Great quality,The quality of this phone case is excellent. It lives up to its promises.,5,06/08/2023,Sneha D.,sneha***@gmail.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
Nice protection,This case does a great job protecting my phone. Love the design too.,4,09/10/2023,Michael C.,michael***@yahoo.com,7969520615673,sagittarius-tough-phone-case-for-i-phone,,
