title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Amazing sweatshirt!,"I love this sweatshirt, it's so comfortable and stylish. Perfect for casual outings.",5,06/15/2023,Kumar R.,kumar****@gmail.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Great quality,The material of this sweatshirt is top-notch. It feels soft and durable. Highly recommend!,4,07/02/2023,Michelle W.,michelle****@hotmail.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Nice design,I really like the quirky design on this sweatshirt. It adds a unique touch. Good fit too!,4,06/22/2023,Rajesh S.,rajesh****@yahoo.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Comfy and trendy,This sweatshirt is both comfortable and stylish. It's my go-to for weekends and casual outings.,5,08/17/2023,Priya M.,priya****@gmail.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Perfect fit,"The size guide was accurate, and this sweatshirt fits me perfectly. Love the quality too!",5,07/12/2023,Emily L.,emily****@gmail.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
So cozy,This sweatshirt is incredibly cozy. I never want to take it off!,4,06/30/2023,Akshay K.,akshay****@outlook.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Versatile sweatshirt,I can wear this sweatshirt for any occasion. It's very versatile and looks great with jeans or skirts.,5,09/05/2023,Julia G.,julia****@gmail.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Highly recommend,"If you're looking for a high-quality sweatshirt, this is it. It's comfortable, durable, and looks great on.",5,07/25/2023,Amit S.,amit****@yahoo.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Great for colder weather,The material of this sweatshirt is perfect for colder weather. It keeps me warm and cozy.,4,08/10/2023,Hannah B.,hannah****@gmail.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Love the design,The quirky design on this sweatshirt caught my attention immediately. It's a fun and unique piece.,4,07/18/2023,Krishna M.,krishna****@hotmail.com,7910080905465,weekend-sweatshirt-for-men-and-women,,
Fantastic hoodie!,The hoodie is comfortable and the quirky design is really eye-catching.,5,06/02/2023,Divya S.,divya****@gmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Great quality and design,"The hoodie is made with buttery cotton and polyester, which feels amazing. The quirky design adds a unique touch to it.",4,06/05/2023,Ankit G.,ankit****@yahoo.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Love the versatility,"I can wear this hoodie for various occasions, it's so versatile. Definitely my go-to choice.",5,06/10/2023,Samantha M.,samantha****@gmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Perfect for Canadian weather,"The hoodie is comfortable, durable, and perfect for the Canadian weather. Love the quirky design too!",4,06/15/2023,Aryan V.,aryan****@gmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Best hoodie ever!,I have never worn a more comfortable and stylish hoodie. The quirky design makes it even better.,5,06/20/2023,Emma L.,emma****@yahoo.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Impressed with the quality,The hoodie is made with high-quality materials. It's definitely worth the price.,4,06/25/2023,Rajesh K.,rajesh****@gmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Super comfortable,"The hoodie is so comfortable, I can wear it all day long. The design is a bonus!",5,07/01/2023,Emily J.,emily****@hotmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Great hoodie for any occasion,"This hoodie can be dressed up or down, perfect for any occasion. Love the quirky design.",4,07/05/2023,Kunal M.,kunal****@gmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Stylish and cozy,I love how stylish and cozy this hoodie is. The quirky design adds a fun element to my outfit.,5,07/10/2023,Olivia S.,olivia****@gmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Amazing quality hoodie,"The hoodie is made with high-quality materials, it feels great on the skin. The design is unique and cool.",4,07/15/2023,Rohan P.,rohan****@yahoo.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Great hoodie for the price,This hoodie offers great value for the price. The quirky design is a great conversation starter.,5,07/20/2023,Sophia G.,sophia****@hotmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
Perfect fit and design,The hoodie fits perfectly and the design is really cool. I get compliments whenever I wear it.,4,07/25/2023,Aarav M.,aarav****@gmail.com,7910070157561,weekend-graphic-hoodie-for-men-and-women,,
