title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Amazing Hoodie!,I love the quirky design and the comfortable material. It's perfect for casual occasions.,5,06/07/2023,Sneha,sneha****@gmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Unique and Versatile,The design of this hoodie is unlike anything I've seen before. It goes well with both casual and dressy outfits.,4,07/20/2023,Rakesh,rakesh****@gmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Comfortable and Stylish,I am in love with the fabric and the fit of this hoodie. The quirky design adds a touch of fun to my outfits.,5,06/12/2023,Emily,emily****@yahoo.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Fantastic Quality,This hoodie exceeded my expectations. The material is soft and the stitching is impeccable. Highly recommend!,5,07/09/2023,Amit,amit****@gmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Perfect for Every Season,I wear this hoodie all year round because it's so comfortable. The quirky design adds a fun element to my outfits.,4,06/26/2023,Priya,priya****@gmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Great Fit and Design,The hoodie fits me perfectly and the quirky design makes it stand out. It's become my go-to choice for casual outings.,5,07/03/2023,James,james****@gmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Impressive Quality,The fabric of this hoodie is so soft and comfortable. I'm impressed with the attention to detail in the design.,4,06/09/2023,Aditi,aditi****@yahoo.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Unique and Eye-catching,I get compliments every time I wear this hoodie. The quirky design is a conversation starter!,5,07/29/2023,Mohammed,mohammed****@gmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Great Purchase,"I'm so glad I bought this hoodie. It's comfortable, stylish, and adds a unique touch to my wardrobe.",5,06/15/2023,Maria,maria****@gmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Excellent Design,The design of this hoodie is so creative and fun. It's definitely a statement piece in my wardrobe.,4,07/16/2023,Sanjay,sanjay****@hotmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Great Quality and Fit,I love the softness of the fabric and the perfect fit of this hoodie. The quirky design makes it stand out.,5,06/23/2023,Rajesh,rajesh****@yahoo.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Unique and Fun,The quirky design on this hoodie is so fun and different. It's a great addition to my wardrobe.,4,07/13/2023,Sophia,sophia****@gmail.com,7910058754297,wish-you-were-weird-graphic-hoodie-for-men-and-women,,
Love the quirky design,The TORCC-grade quirky design really stands out. Perfect for expressing my unique style.,5,06/15/2023,Alisha Patel,alisha****@gmail.com,7910079627513,wish-you-were-weird-sweatshirt-for-men-and-women,,
