title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Amazing Hat,I love how this hat fits and looks!,5,06/10/2023,Rahul G****,rahulg****@gmail.com,7967843975417,torcc-hat,,
Comfortable and Stylish,This hat is both comfortable to wear and looks stylish!,5,07/08/2023,Emily M*******,emilym*******@yahoo.com,7967843975417,torcc-hat,,
Great Quality,The hat is made with great quality materials. Highly recommend!,5,06/12/2023,Aarav S****,aaravs****@gmail.com,7967843975417,torcc-hat,,
Perfect Fit,The adjustable snap closure ensures a perfect fit for anyone.,5,06/25/2023,Sophia B*******,sophiab*******@yahoo.com,7967843975417,torcc-hat,,
Love the Design,The green camo design of this hat is really cool!,5,07/18/2023,Arjun K****,arjunk****@gmail.com,7967843975417,torcc-hat,,
Great Purchase,I'm really happy with my purchase of this hat!,5,07/29/2023,Ella T*******,ellat*******@yahoo.com,7967843975417,torcc-hat,,
Everyone Loves It,I've received so many compliments on this hat. It's a hit!,5,06/17/2023,Aryan S****,aryans****@gmail.com,7967843975417,torcc-hat,,
Great Gift,I bought this hat as a gift and it was loved by the recipient.,5,07/03/2023,Olivia C*******,oliviac*******@yahoo.com,7967843975417,torcc-hat,,
Stylish Design,The design of this hat is trendy and fashionable!,5,06/09/2023,Anaya M*******,anayam*******@gmail.com,7967843975417,torcc-hat,,
Great for Outdoor Activities,I wear this hat for hiking and it provides great sun protection!,4,07/25/2023,Liam J*****,liamj*****@gmail.com,7967843975417,torcc-hat,,
Great hoodie!,Love the graphic design and the comfort of this hoodie. Highly recommended!,5,07/02/2023,Arjun K****,arjun*********@gmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Awesome buy!,The quality of this hoodie is top-notch. Perfect for casual wear or workouts.,5,08/12/2023,Aanya B****,aany*****@yahoo.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Comfortable and stylish,I absolutely love this hoodie! It fits perfectly and the design is eye-catching.,5,06/18/2023,Ananya D****,anan****@hotmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Impressive quality,The fabric of this hoodie feels great and it's so well-made. Definitely worth the price.,5,06/02/2023,Rajesh K****,rajes*****@gmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Love it!,This hoodie is my new favorite. The fit is perfect and the design is unique.,5,07/28/2023,Aditi M****,adit*****@yahoo.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Great design,I get compliments every time I wear this hoodie. It's stylish and comfortable.,5,06/08/2023,Rahul S****,rahu*****@hotmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Super comfy,I love how soft and cozy this hoodie is. Perfect for lounging around or running errands.,5,07/14/2023,Nikhil G****,nikhi*****@gmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Highly recommend,I'm extremely happy with my purchase. The hoodie is well-made and looks great.,5,06/23/2023,Esha C****,esha*****@yahoo.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Great value,"For the price, this hoodie is amazing. The quality is excellent and it fits perfectly.",5,06/04/2023,Avni P****,avni*****@gmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Amazing hoodie,I can't get enough of this hoodie. The design is so cool and it's really comfortable.,5,07/08/2023,Liam H****,liam*****@hotmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Perfect fit,I'm very pleased with the sizing of this hoodie. It's not too loose or too tight.,5,06/12/2023,Ishaan S****,isha*****@gmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Great for workouts,I wear this hoodie to the gym and it's perfect for my active lifestyle. Highly recommend!,5,07/18/2023,Sanvi M****,sanvi*****@yahoo.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Love the design,The graphic on this hoodie is so unique and cool. It's a great conversation starter!,5,06/21/2023,Sahil K****,sahi*****@hotmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Cozy and stylish,"I love how warm and cozy this hoodie is. Plus, it looks great with any outfit.",5,07/05/2023,Sneha M****,sneh*****@gmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Fantastic quality,I'm impressed with the durability and craftsmanship of this hoodie. It's built to last.,5,06/06/2023,Shreya P****,shre*****@yahoo.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
Stylish and comfy,This is my go-to hoodie now. It's fashionable and feels great to wear.,5,07/30/2023,Emilia H****,emil*****@hotmail.com,7968008798457,copy-of-toronnowithtcn-graphic-hoodie-for-men-and-women,,
