product_handle,status,content,rating,photo_url,name,country,email,created_at,product_id
author-graphic-hoodie-for-men-and-women,,"This hoodie is not just a piece of clothing, it's a reminder that I am the author of my own story. Love the design and quality.",5,,Priya Singh,,priya*1234@gmail.com,2023-12-15
author-graphic-hoodie-for-men-and-women,,Wearing this hoodie makes me feel empowered and motivated to chase my dreams. Highly recommend it!,5,,Rahul Sharma,,rahul*5678@gmail.com,2024-01-07
author-graphic-hoodie-for-men-and-women,,I love the message behind this hoodie. It's a constant reminder that I have the power to shape my own destiny.,4,,Aisha Patel,,aisha*9012@gmail.com,2023-12-29
author-graphic-hoodie-for-men-and-women,,"This hoodie is not just comfortable, but it also motivates me to keep going and keep believing in myself.",5,,Aniket Malhotra,,aniket*3456@gmail.com,2024-02-15
author-graphic-hoodie-for-men-and-women,,Great quality hoodie with an inspiring message. Perfect for anyone who needs a little boost of confidence.,4,,Sneha Gupta,,sneha*7890@gmail.com,2024-03-10
author-graphic-hoodie-for-men-and-women,,I feel like a boss every time I wear this hoodie. It's a stylish way to remind myself that I am in control of my story.,5,,Vikram Rajput,,vikram*6543@gmail.com,2024-01-22
author-graphic-hoodie-for-men-and-women,,Love the fit and feel of this hoodie. The message is a bonus that keeps me motivated throughout the day.,4,,Meera Iyer,,meera*2109@gmail.com,2023-12-18
author-graphic-hoodie-for-men-and-women,,This hoodie is a great conversation starter. It makes me feel confident and ready to take on any challenge.,4,,Aarav Reddy,,aarav*3377@gmail.com,2024-02-27
author-graphic-hoodie-for-men-and-women,,Such a cool hoodie with a powerful message. It's like wearing motivation on your sleeve!,5,,Khushi Desai,,khushi*4466@gmail.com,2024-03-19
author-graphic-hoodie-for-men-and-women,,I adore this hoodie for its comfort and style. The message resonates with me on a personal level.,5,,Aryan Kapoor,,aryan*1199@gmail.com,2024-01-15
author-graphic-hoodie-for-men-and-women,,"Every time I wear this hoodie, I feel a surge of confidence and determination. It's more than just clothing.",4,,Neha Choudhary,,neha*9977@gmail.com,2024-02-20
author-graphic-hoodie-for-men-and-women,,"The material of this hoodie is top-notch, and the message reminds me to keep striving for greatness.",4,,Devika Rana,,devika*5544@gmail.com,2023-12-23
author-graphic-hoodie-for-men-and-women,,"I feel a sense of empowerment when I wear this hoodie. It's more than just a piece of clothing, it's a statement.",5,,Arjun Menon,,arjun*6677@gmail.com,2024-02-10
author-graphic-hoodie-for-men-and-women,,"The fit of this hoodie is perfect, and the message is a constant reminder to never give up on my dreams.",5,,Ishaan Bhatia,,ishaan*4333@gmail.com,2024-01-30
author-graphic-hoodie-for-men-and-women,,I love the positivity this hoodie brings into my life. It's a daily dose of motivation wrapped in style.,4,,Pooja Malhotra,,pooja*1122@gmail.com,2024-03-15
author-graphic-hoodie-for-men-and-women,,The design of this hoodie is trendy and the message is powerful. It's a must-have for anyone wanting to inspire themselves.,5,,Rohan Khanna,,rohan*9922@gmail.com,2024-01-12
author-graphic-hoodie-for-men-and-women,,Wearing this hoodie feels like stepping into my personal journey with determination and self-belief. Love it!,5,,Sia Verma,,sia*7781@gmail.com,2024-02-05
author-graphic-hoodie-for-men-and-women,,"The comfort of this hoodie is unmatched, and the message is a daily reminder that I control my destiny.",4,,Kabir Shah,,kabir*7766@gmail.com,2023-12-27
author-graphic-hoodie-for-men-and-women,,I feel inspired and motivated every time I wear this hoodie. It's like wearing my aspirations on my sleeve.,5,,Tanvi Banerjee,,tanvi*8844@gmail.com,2024-03-05
author-graphic-hoodie-for-men-and-women,,"The quality of this hoodie is impressive, and the message is a constant source of encouragement in my journey.",4,,Vivaan Kapoor,,vivaan*2233@gmail.com,2024-02-18
author-graphic-hoodie-for-men-and-women,,"I love the stylish design of this hoodie, and the empowering message adds an extra layer of motivation.",5,,Amaya Chawla,,amaya*3322@gmail.com,2024-01-25
author-graphic-hoodie-for-men-and-women,,"This hoodie is a constant reminder that I am the author of my own story. It's comfortable, stylish, and empowering.",5,,Aadi Joshi,,aadi*4411@gmail.com,2024-03-01
author-graphic-hoodie-for-men-and-women,,An incredible hoodie with a meaningful message. It pushes me to strive for excellence every time I wear it.,4,,Ishita Malhotra,,ishita*7782@gmail.com,2024-02-23
author-graphic-hoodie-for-men-and-women,,"I feel a sense of determination and strength when I wear this hoodie. It's more than just clothing, it's a mindset.",5,,Arnav Singhania,,arnav*1133@gmail.com,2024-01-18
author-graphic-hoodie-for-men-and-women,,The message on this hoodie speaks volumes to me. It's a reminder that my story is in my hands and I can shape it as I please.,4,,Diya Verma,,diya*2242@gmail.com,2024-03-14
basic-black-oversized-t-shirt-torcc,,Love the fit and feel of this t-shirt. Great for lounging around or dressing up with accessories.,5,,Rahul Singh,IN,rahul****@gmail.com,2023-12-15
basic-black-oversized-t-shirt-torcc,,The quality of the fabric is excellent and the oversized fit is very trendy. Will be buying more colors!,4,,Neha Patel,IN,neha****@yahoo.com,2024-02-03
basic-black-oversized-t-shirt-torcc,,Simple yet stylish t-shirt. It goes with everything and is so comfortable to wear. Definitely a must-have!,4,,Aarav Mehta,IN,aarav****@outlook.com,2023-12-28
basic-black-oversized-t-shirt-torcc,,Received so many compliments when I wore this t-shirt. The oversized look is very flattering.,5,,Priya Desai,IN,priya****@gmail.com,2024-01-22
basic-black-oversized-t-shirt-torcc,,The t-shirt is super soft and the black color is very rich. Such a versatile piece in my wardrobe!,5,,Rohan Sharma,IN,rohan****@hotmail.com,2024-03-10
basic-black-oversized-t-shirt-torcc,,I'm loving the oversized trend and this shirt is spot on. Great quality and fits perfectly!,4,,Mira Reddy,IN,mira****@gmail.com,2023-12-18
basic-black-oversized-t-shirt-torcc,,So comfortable and easy to style. I wear it casually or even to work with a blazer.,4,,Amit Khanna,IN,amit****@yahoo.com,2024-02-15
basic-black-oversized-t-shirt-torcc,,Perfect oversized t-shirt for a relaxed look. The material is so soft against my skin.,5,,Divya Narang,IN,divya****@outlook.com,2024-01-07
basic-black-oversized-t-shirt-torcc,,"This t-shirt is great for layering or wearing alone. Love the oversized fit, very flattering.",5,,Vivek Iyer,IN,vivek****@gmail.com,2024-03-05
basic-black-oversized-t-shirt-torcc,,One of the best oversized t-shirts I own. The fabric is top-notch and the fit is just right.,5,,Shreya Malhotra,IN,shreya****@hotmail.com,2023-12-30
basic-black-oversized-t-shirt-torcc,,So comfortable and chic. I feel so confident wearing this oversized t-shirt.,4,,Karan Kapoor,IN,karan****@gmail.com,2024-02-10
basic-black-oversized-t-shirt-torcc,,Love how versatile this t-shirt is. Can be styled in so many different ways for various occasions.,4,,Anushka Patel,IN,anushka****@yahoo.com,2023-12-24
basic-black-oversized-t-shirt-torcc,,Great quality and modern look. This t-shirt is a staple in my wardrobe now.,5,,Aarushi Verma,IN,aarushi****@outlook.com,2024-01-15
basic-black-oversized-t-shirt-torcc,,The oversized style is so on-trend and this t-shirt ticks all the boxes. Highly recommend!,5,,Aditya Singhania,IN,aditya****@gmail.com,2024-03-13
basic-black-oversized-t-shirt-torcc,,I'm impressed with the quality and fit of this t-shirt. It's become my go-to for a casual day out.,4,,Riya Mehta,IN,riya****@hotmail.com,2023-12-20
basic-black-oversized-t-shirt-torcc,,Such a comfortable t-shirt with a cool oversized design. Love the look and feel of it.,5,,Shaurya Reddy,IN,shaurya****@gmail.com,2024-02-20
basic-black-oversized-t-shirt-torcc,,I adore this t-shirt. The oversized fit is perfect and the fabric is so soft and breathable.,5,,Kavya Shah,IN,kavya****@yahoo.com,2024-01-30
basic-black-oversized-t-shirt-torcc,,Love the black color of this t-shirt. It's a great staple piece for any wardrobe.,4,,Rohan Khanna,IN,rohan****@outlook.com,2024-03-03
basic-black-oversized-t-shirt-torcc,,The oversized style is so comfortable and trendy. This t-shirt is a must-have!,5,,Samaira Kapoor,IN,samaira****@gmail.com,2023-12-25
basic-black-oversized-t-shirt-torcc,,This t-shirt is perfect for a laid-back but stylish look. The oversized fit is just right.,4,,Dev Mehta,IN,dev****@hotmail.com,2024-02-12
basic-black-oversized-t-shirt-torcc,,I'm loving the oversized trend and this t-shirt is a great addition to my wardrobe. So comfy!,5,,Ananya Iyer,IN,ananya****@gmail.com,2024-01-18
basic-black-oversized-t-shirt-torcc,,Such a stylish and versatile t-shirt. I can dress it up or down and it always looks great.,5,,Yuvraj Malhotra,IN,yuvraj****@yahoo.com,2024-03-15
basic-black-oversized-t-shirt-torcc,,Simple yet chic t-shirt. The oversized fit gives it a modern edge that I love.,4,,Alisha Verma,IN,alisha****@outlook.com,2023-12-31
basic-black-oversized-t-shirt-torcc,,Love the effortless style of this t-shirt. The oversized fit is so comfy and flattering.,5,,Aryan Singh,IN,aryan****@gmail.com,2024-02-25
