product_handle,status,content,rating,photo_url,name,country,email,created_at
symbiosis-oversized-t-shirt-for-men-and-women,,"Love the oversized fit of this t-shirt, perfect for a casual day out! The print is top-notch quality.",5,,Aarav Patel,India,aarav*****@gmail.com,2023-12-15
symbiosis-oversized-t-shirt-for-men-and-women,,"Such a comfortable t-shirt, the cotton fabric feels great on the skin. Will definitely buy more!",4,,Isha Singh,India,isha****@yahoo.com,2024-01-05
symbiosis-oversized-t-shirt-for-men-and-women,,The colors of the print are vibrant and eye-catching. Really stands out from regular t-shirts.,4,,Vivan Reddy,India,vivan****@outlook.com,2024-02-21
symbiosis-oversized-t-shirt-for-men-and-women,,"Impressed with the quality of this t-shirt, the fabric is sturdy and feels durable.",5,,Avni Kapoor,India,avni****@gmail.com,2023-12-30
symbiosis-oversized-t-shirt-for-men-and-women,,"Great t-shirt for lounging at home, oversized fit adds to the comfort. Will recommend it to friends.",4,,Kabir Sharma,India,kabir****@hotmail.com,2024-02-05
symbiosis-oversized-t-shirt-for-men-and-women,,"The print on this t-shirt is unique and stylish, definitely a statement piece in my wardrobe.",5,,Aisha Joshi,India,aisha****@gmail.com,2024-01-20
symbiosis-oversized-t-shirt-for-men-and-women,,"Comfortable and trendy t-shirt, the oversized design is perfect for a relaxed look.",4,,Kiran Malhotra,India,kiran****@yahoo.com,2023-12-22
symbiosis-oversized-t-shirt-for-men-and-women,,"The fabric of this t-shirt is top quality, feels soft and breathable on the skin.",5,,Riya Chakraborty,India,riya****@gmail.com,2024-02-14
symbiosis-oversized-t-shirt-for-men-and-women,,"Absolutely love this t-shirt, the oversized fit is just what I was looking for. Great buy!",5,,Veer Khanna,India,veer****@hotmail.com,2024-03-10
symbiosis-oversized-t-shirt-for-men-and-women,,"The print on this t-shirt is vibrant and detailed, adds a fun element to my wardrobe.",4,,Sia Nair,India,sia****@gmail.com,2024-02-28
symbiosis-oversized-t-shirt-for-men-and-women,,"Really happy with this t-shirt, the print quality is exceptional and the fit is just right.",5,,Aryan Mehra,India,aryan****@outlook.com,2024-01-15
symbiosis-oversized-t-shirt-for-men-and-women,,"The oversized design of this t-shirt is so comfy, perfect for a casual day out with friends.",4,,Anaya Verma,India,anaya****@yahoo.com,2024-03-05
symbiosis-oversized-t-shirt-for-men-and-women,,"Great quality t-shirt, the fabric feels premium and the print looks amazing.",5,,Rohan Iyer,India,rohan****@gmail.com,2023-12-18
