product_handle,status,content,rating,photo_url,name,country,email,created_at
take-it-easy-graphic-hoodie-for-men-and-women,,"Love the message on this hoodie, perfect reminder to take it easy and recharge. Great quality material too!",5,,Aarav Gupta,India,aaravgupta****@gmail.com,2023-12-15
take-it-easy-graphic-hoodie-for-men-and-women,,This hoodie is super comfortable and the graphic is eye-catching. Definitely a must-have for laid back days.,4,,Siya Patel,India,siyapatel****@gmail.com,2024-01-25
take-it-easy-graphic-hoodie-for-men-and-women,,Bought this hoodie for my partner and they absolutely love the fit. The message is so motivating!,5,,Ishaan Sharma,India,ishaansharma****@gmail.com,2023-12-30
take-it-easy-graphic-hoodie-for-men-and-women,,"The material is soft and cozy, perfect for lounging around. The design is simple yet impactful.",5,,Anaya Singh,India,anayasingh****@gmail.com,2024-02-10
take-it-easy-graphic-hoodie-for-men-and-women,,Received this hoodie as a gift and it's now my favorite go-to for a relaxed look. Highly recommend!,4,,Arjun Mehta,India,arjunmehta****@gmail.com,2024-03-05
take-it-easy-graphic-hoodie-for-men-and-women,,This hoodie speaks to me on a different level. Reminds me to slow down and take care of myself. Love it!,5,,Priya Reddy,India,priyareddy****@gmail.com,2023-12-20
take-it-easy-graphic-hoodie-for-men-and-women,,The quality of this hoodie is top-notch. The message is a great daily reminder to prioritize self-care.,5,,Vivaan Kapoor,India,vivaankapoor****@gmail.com,2024-02-18
take-it-easy-graphic-hoodie-for-men-and-women,,Absolutely love the design and comfort of this hoodie. It's a subtle yet powerful statement piece.,4,,Saanvi Joshi,India,saanvijoshi****@gmail.com,2024-01-10
take-it-easy-graphic-hoodie-for-men-and-women,,Wearing this hoodie feels like a hug. The message is a great daily affirmation to relax and unwind.,5,,Ishan Malhotra,India,ishanmalhotra****@gmail.com,2024-02-28
take-it-easy-graphic-hoodie-for-men-and-women,,The fit of this hoodie is perfect and the material is so soft. The message is a gentle reminder to take it easy.,4,,Avani Choudhary,India,avanichoudhary****@gmail.com,2024-03-18
take-it-easy-graphic-hoodie-for-men-and-women,,"I love the meaning behind this hoodie, it's a great way to encourage self-care and relaxation. Highly recommend!",5,,Eshaan Nair,India,eshaannair****@gmail.com,2024-02-05
take-it-easy-graphic-hoodie-for-men-and-women,,The graphic on this hoodie is cool and the fit is so comfortable. Perfect for casual days when you need a reminder to relax.,4,,Dia Mehra,India,diamehra****@gmail.com,2024-01-15
take-it-easy-graphic-hoodie-for-men-and-women,,"I adore the message on this hoodie, it's a subtle nudge to take a break and recharge. The quality is excellent too!",5,,Kabir Ahuja,India,kabirahuja****@gmail.com,2023-12-27
take-it-easy-graphic-hoodie-for-men-and-women,,This hoodie is so comfortable and the graphic is so stylish. Love wearing it on lazy days to remind me to relax.,4,,Siya Khanna,India,siyakhanna****@gmail.com,2024-02-20
take-it-easy-graphic-hoodie-for-men-and-women,,The design of this hoodie is simple yet impactful. The material is great quality and the fit is just perfect.,5,,Aryan Singhania,India,aryansinghania****@gmail.com,2024-03-10
take-it-easy-graphic-hoodie-for-men-and-women,,Received this hoodie as a gift and it's now my favorite piece in my wardrobe. The message is so relatable and comforting.,5,,Aaradhya Mishra,India,aaradhyamishra****@gmail.com,2024-02-08
take-it-easy-graphic-hoodie-for-men-and-women,,This hoodie is a great reminder to take it easy and prioritize self-care. The fit and quality are superb!,4,,Vedika Reddy,India,vedikareddy****@gmail.com,2024-01-05
take-it-easy-graphic-hoodie-for-men-and-women,,"The comfort of this hoodie is unmatched, perfect for lounging at home. The message is so important in today's fast-paced world.",5,,Vihaan Kapoor,India,vihaankapoor****@gmail.com,2023-12-12
take-it-easy-graphic-hoodie-for-men-and-women,,"I really needed this reminder to take it easy, and this hoodie does the trick. Comfortable, stylish, and meaningful design!",4,,Kyra Bhatia,India,kyrabhatia****@gmail.com,2024-03-15
take-it-easy-graphic-hoodie-for-men-and-women,,Great quality hoodie with a powerful message. Makes for a thoughtful gift for anyone needing a reminder to relax.,5,,Advik Pillai,India,advikpillai****@gmail.com,2024-01-20
take-it-easy-graphic-hoodie-for-men-and-women,,"The fit of this hoodie is fantastic, and the material is so soft. The message resonates deeply with me. Love it!",5,,Aanya Raman,India,aanyaraman****@gmail.com,2024-02-25
take-it-easy-graphic-hoodie-for-men-and-women,,Wearing this hoodie instantly puts me in a relaxed mood. The message is a great daily encouragement to unwind and destress.,4,,Yuvan Venkatesh,India,yuvanvenkatesh****@gmail.com,2024-03-08
take-it-easy-graphic-hoodie-for-men-and-women,,The simplicity of this hoodie's design is what makes it so special. The message is a wonderful reminder to slow down and relax.,5,,Avni Varma,India,avnivarman****@gmail.com,2023-12-22
take-it-easy-graphic-hoodie-for-men-and-women,,"I can't get enough of this hoodie! The comfort, fit, and message all come together perfectly. Highly recommend it!",5,,Sahil Khurana,India,sahilkhurana****@gmail.com,2024-01-30
take-it-easy-graphic-hoodie-for-men-and-women,,"The material of this hoodie is so comfortable, perfect for chilling at home. The message is a great reminder to take things easy.",4,,Ishita Rastogi,India,ishitarastogi****@gmail.com,2024-02-15
white-basic-oversized-t-shirt-torcc,,"Absolutely love this oversized t-shirt! The material is so soft and comfortable, perfect for lounging around or running errands.",5,,Neha Sharma,India,neha****@gmail.com,2023-12-15
white-basic-oversized-t-shirt-torcc,,The fit of this t-shirt is exactly what I was looking for. Oversized but not too baggy. Will definitely be buying more colors!,5,,Rajesh Patel,India,rajesh****@yahoo.com,2024-01-20
white-basic-oversized-t-shirt-torcc,,Received so many compliments when I wore this t-shirt. It's the perfect basic piece that can be dressed up or down.,4,,Pooja Singh,India,pooja****@hotmail.com,2023-12-30
white-basic-oversized-t-shirt-torcc,,Love the oversized look of this t-shirt. It's so easy to style and the white color goes with everything.,5,,Amit Kumar,India,amit****@gmail.com,2024-02-10
white-basic-oversized-t-shirt-torcc,,The quality of this t-shirt is top-notch. It's thick enough to feel durable but still breathable and lightweight.,4,,Sneha Verma,India,sneha****@outlook.com,2024-02-25
white-basic-oversized-t-shirt-torcc,,"This t-shirt is a wardrobe essential. Can't go wrong with a classic oversized white tee, and this one fits perfectly.",5,,Rahul Gupta,India,rahul****@gmail.com,2024-03-05
white-basic-oversized-t-shirt-torcc,,The oversized fit of this t-shirt is so trendy and comfortable. Pairing it with jeans or leggings creates the perfect casual look.,4,,Anjali Reddy,India,anjali****@yahoo.com,2024-01-10
white-basic-oversized-t-shirt-torcc,,"I'm obsessed with this t-shirt! The quality is amazing, and the oversized style gives it a cool and effortless vibe.",5,,Siddharth Malhotra,India,siddharth****@gmail.com,2023-12-20
white-basic-oversized-t-shirt-torcc,,"Such a versatile piece! I can wear this t-shirt with leggings for a cozy night in, or tuck it into high-waisted jeans for a more put-together look.",4,,Priya Kapoor,India,priya****@outlook.com,2024-02-15
white-basic-oversized-t-shirt-torcc,,The oversized fit of this t-shirt is perfect for my style. It's loose enough to be comfy but still looks fashionable.,5,,Arjun Sharma,India,arjun****@gmail.com,2024-03-10
white-basic-oversized-t-shirt-torcc,,Love the relaxed fit of this t-shirt. It's great for those casual days when I want to feel comfortable but still look put together.,4,,Neha Bajaj,India,neha****@yahoo.com,2024-01-05
white-basic-oversized-t-shirt-torcc,,This t-shirt is a staple in my wardrobe now. The oversized silhouette gives it a laid-back feel that I love.,5,,Vikram Mehta,India,vikram****@gmail.com,2023-12-25
white-basic-oversized-t-shirt-torcc,,So happy with this purchase! The oversized t-shirt is exactly what I was looking for. The fabric is soft and the fit is perfect.,5,,Kavita Khanna,India,kavita****@hotmail.com,2024-02-20
white-basic-oversized-t-shirt-torcc,,This t-shirt exceeded my expectations. The oversized style is so flattering and the quality is fantastic.,5,,Rakesh Sharma,India,rakesh****@gmail.com,2024-03-15
white-basic-oversized-t-shirt-torcc,,The white color of this t-shirt is so crisp and clean. It's the perfect wardrobe staple that goes with everything.,4,,Radhika Kapoor,India,radhika****@outlook.com,2024-01-15
white-basic-oversized-t-shirt-torcc,,"I can't get enough of this t-shirt! It's so versatile and comfortable, and the oversized fit is just right.",5,,Rohan Kumar,India,rohan****@gmail.com,2023-12-10
white-basic-oversized-t-shirt-torcc,,This t-shirt is a must-have in every wardrobe. The oversized design gives it a trendy look that is perfect for any occasion.,4,,Priyanka Singh,India,priyanka****@yahoo.com,2024-02-05
white-basic-oversized-t-shirt-torcc,,"Absolutely love this t-shirt! The oversized fit is exactly what I was looking for, and the quality is amazing.",5,,Amita Sen,India,amita****@gmail.com,2024-03-20
