product_handle,status,content,rating,photo_url,name,country,email,created_at,product_id
chocolate-basic-oversized-t-shirt-torcc,,Love the soft material and the oversized fit of this t-shirt. Perfect for lounging around or running errands.,5,,Rohit Kumar,India,rohit*****@gmail.com,2023-12-15
chocolate-basic-oversized-t-shirt-torcc,,"The color of this t-shirt is exactly like chocolate, so rich and deep. Definitely a favorite in my wardrobe now.",4,,Priya Singh,India,priya*****@gmail.com,2024-01-26
chocolate-basic-oversized-t-shirt-torcc,,The oversized style of this t-shirt gives it a cool and relaxed vibe. Pair it with skinny jeans for a chic look.,4,,Aarav Patel,India,aarav*****@gmail.com,2023-12-29
chocolate-basic-oversized-t-shirt-torcc,,Bought this t-shirt for my boyfriend and he absolutely loves it. The oversized fit is great for a casual day out.,5,,Neha Malhotra,India,neha*****@gmail.com,2024-02-14
chocolate-basic-oversized-t-shirt-torcc,,"I'm a fan of oversized t-shirts and this one did not disappoint. The material is soft and comfy, perfect for all-day wear.",5,,Vikram Yadav,India,vikram*****@gmail.com,2024-03-05
chocolate-basic-oversized-t-shirt-torcc,,Received this t-shirt as a gift and I'm in love with it. The oversized fit is super trendy and the color is unique.,4,,Isha Kapoor,India,isha*****@gmail.com,2024-03-10
chocolate-basic-oversized-t-shirt-torcc,,This t-shirt is a must-have for anyone who loves oversized clothing. The quality is great and it's so comfortable.,5,,Aryan Sharma,India,aryan*****@gmail.com,2023-12-17
chocolate-basic-oversized-t-shirt-torcc,,"The fit of this t-shirt is just perfect, not too tight or too loose. The chocolate color is also very flattering.",4,,Nisha Gupta,India,nisha*****@gmail.com,2024-02-28
chocolate-basic-oversized-t-shirt-torcc,,"Wearing this t-shirt feels like a warm hug, it's so comfy and cozy. The oversized style is on point.",5,,Rishi Khanna,India,rishi*****@gmail.com,2024-01-05
chocolate-basic-oversized-t-shirt-torcc,,Absolutely love this t-shirt! The oversized fit is just what I was looking for. Will be buying more in different colors.,5,,Priyanka Verma,India,priyanka*****@gmail.com,2023-12-24
chocolate-basic-oversized-t-shirt-torcc,,The material of this t-shirt is so soft and breathable. Perfect for lounging at home or going for a walk.,4,,Mohit Mehra,India,mohit*****@gmail.com,2024-02-20
chocolate-basic-oversized-t-shirt-torcc,,"I love how versatile this t-shirt is, you can dress it up or down easily. The oversized style is so trendy.",4,,Khushi Malhotra,India,khushi*****@gmail.com,2024-01-15
chocolate-basic-oversized-t-shirt-torcc,,The color of this t-shirt is stunning and the oversized fit is so comfy. Overall a great purchase.,5,,Aniket Reddy,India,aniket*****@gmail.com,2024-03-15
chocolate-basic-oversized-t-shirt-torcc,,I adore this t-shirt! The oversized fit is perfect and the material is high quality. Super happy with my purchase.,5,,Pooja Choudhary,India,pooja*****@gmail.com,2023-12-30
chocolate-basic-oversized-t-shirt-torcc,,The oversized t-shirt trend is my favorite and this one is a winner. The chocolate color is so rich and beautiful.,4,,Rajat Kumar,India,rajat*****@gmail.com,2024-02-10
chocolate-basic-oversized-t-shirt-torcc,,"Wearing this t-shirt feels like wearing a cloud, it's so soft and cozy. The oversized fit is just the cherry on top.",5,,Kavita Singh,India,kavita*****@gmail.com,2024-03-01
chocolate-basic-oversized-t-shirt-torcc,,The oversized fit of this t-shirt is what drew me to it and I'm so happy with my purchase. Highly recommend!,5,,Ananya Das,India,ananya*****@gmail.com,2023-12-23
chocolate-basic-oversized-t-shirt-torcc,,This t-shirt is perfect for those lazy days when you want to feel comfy yet stylish. The oversized style is great.,4,,Amit Kapoor,India,amit*****@gmail.com,2024-02-22
