product_handle,status,content,rating,photo_url,name,country,email,created_at,product_id
maroon-basic-oversized-t-shirt-torcc,,Absolutely love the color and fit of this t-shirt. It's so comfortable to wear all day long!,5,,Aarav Patel,India,aarav*123@gmail.com,2023-12-18
maroon-basic-oversized-t-shirt-torcc,,"The oversized fit of this t-shirt is perfect for a casual, relaxed look. Highly recommend!",4,,Aisha Singh,India,aisha*456@gmail.com,2024-02-05
maroon-basic-oversized-t-shirt-torcc,,The material is super soft and the maroon color is so rich. Definitely a wardrobe staple now!,5,,Kabir Sharma,India,kabir*789@gmail.com,2023-12-28
maroon-basic-oversized-t-shirt-torcc,,Love how versatile this t-shirt is. Can be dressed up or down depending on the occasion.,4,,Simran Malhotra,India,simran*abc@gmail.com,2024-02-22
maroon-basic-oversized-t-shirt-torcc,,Received so many compliments when wearing this t-shirt. It's a must-have in every closet!,5,,Vivaan Reddy,India,vivaan*def@gmail.com,2023-12-15
maroon-basic-oversized-t-shirt-torcc,,The quality of this t-shirt is top-notch. Will definitely be purchasing more colors!,5,,Saanvi Krishnan,India,saanvi*ghi@gmail.com,2024-03-07
maroon-basic-oversized-t-shirt-torcc,,Really impressed with the oversized fit of this t-shirt. It's so comfortable and stylish!,4,,Advik Iyer,India,advik*jkl@gmail.com,2024-01-10
maroon-basic-oversized-t-shirt-torcc,,The maroon color pops beautifully and the fabric is so breathable. Love it!,5,,Anaya Venkat,India,anaya*mno@gmail.com,2023-12-30
maroon-basic-oversized-t-shirt-torcc,,Perfect t-shirt for a lazy day at home or a casual outing. Comfortable and stylish!,4,,Aaradhya Raj,India,aaradhya*pqr@gmail.com,2024-02-28
maroon-basic-oversized-t-shirt-torcc,,Great quality and the oversized fit is just what I was looking for. Love it!,5,,Aryan Kumar,India,aryan*stu@gmail.com,2023-12-20
maroon-basic-oversized-t-shirt-torcc,,This t-shirt is my go-to for a casual day out. The color is vibrant and the fit is perfect!,4,,Ishaan Bhat,India,ishaan*vwx@gmail.com,2024-03-15
maroon-basic-oversized-t-shirt-torcc,,The material is so soft and comfortable. I could live in this t-shirt all day!,5,,Aarav Rao,India,aarav*yza@gmail.com,2024-01-05
maroon-basic-oversized-t-shirt-torcc,,Absolutely love the color of this t-shirt. It's a great addition to my wardrobe!,4,,Anika Nair,India,anika*zab@gmail.com,2023-12-25
maroon-basic-oversized-t-shirt-torcc,,The oversized fit of this t-shirt is trendy and comfortable. Perfect for a casual day!,5,,Ayaan Iyengar,India,ayaan*zcd@gmail.com,2024-02-12
maroon-basic-oversized-t-shirt-torcc,,Love the oversized look of this t-shirt. The quality is great and it's so easy to style!,4,,Sara Pillai,India,sara*zef@gmail.com,2024-01-18
maroon-basic-oversized-t-shirt-torcc,,I feel so confident in this t-shirt. The color and fit are just perfect!,5,,Aarush Menon,India,aarush*zgh@gmail.com,2023-12-22
maroon-basic-oversized-t-shirt-torcc,,The t-shirt is super comfy and the maroon color is stunning. I'm in love!,4,,Dia Mehra,India,dia*zij@gmail.com,2024-03-10
maroon-basic-oversized-t-shirt-torcc,,Perfect oversized t-shirt for a laid-back day. The quality is excellent!,5,,Kabir Khanna,India,kabir*ozq@gmail.com,2024-01-15
maroon-basic-oversized-t-shirt-torcc,,I can't get enough of this t-shirt. The fit is amazing and the color is so vibrant!,4,,Eva Kapoor,India,eva*pqrst@gmail.com,2023-12-08
maroon-basic-oversized-t-shirt-torcc,,This t-shirt is a must-have in every wardrobe. Super comfy and looks great!,5,,Kiaan Raghavan,India,kiaan*rstu@gmail.com,2024-02-18
maroon-basic-oversized-t-shirt-torcc,,The material is so soft and the fit is just perfect for a relaxed day out.,4,,Vihaan Joshi,India,vihaan*uvw@gmail.com,2024-01-25
maroon-basic-oversized-t-shirt-torcc,,Love this t-shirt. The color is beautiful and the fit is exactly what I wanted!,5,,Shivani Nayar,India,shivani*vwx@gmail.com,2023-12-12
maroon-basic-oversized-t-shirt-torcc,,Great quality t-shirt that is so comfy to wear all day. Love the oversized style!,4,,Aahana Menon,India,aahana*yza@gmail.com,2024-03-05
maroon-basic-oversized-t-shirt-torcc,,The color of this t-shirt is even better in person. Fits perfectly and feels great!,5,,Amaan Iyer,India,amaan*zab@gmail.com,2024-01-08
my-life-graphic-hoodie-for-men-and-women,,Absolutely love the message on this hoodie. It's a perfect way to shut down unwanted opinions. Great quality material too!,5,,Neha Sharma,India,neh******@gmail.com,2023-12-15
my-life-graphic-hoodie-for-men-and-women,,Received so many compliments when I wore this hoodie. The design is eye-catching and the fit is fantastic. Definitely a favorite now!,5,,Ravi Singh,India,rav******@yahoo.com,2023-12-28
my-life-graphic-hoodie-for-men-and-women,,This hoodie speaks my mind. Perfect for those days when you just want to be left alone. Also super comfortable to wear!,4,,Ananya Patel,India,ana******@outlook.com,2024-01-05
my-life-graphic-hoodie-for-men-and-women,,The print on this hoodie is bold and clear. Love the statement it makes. Fits true to size and is cozy. A great buy!,4,,Aryan Kapoor,India,ary******@gmail.com,2024-01-18
my-life-graphic-hoodie-for-men-and-women,,Wearing this hoodie is like wearing my mantra. Love the style and the comfort it provides. Highly recommend!,5,,Priya Mehta,India,pri******@hotmail.com,2024-01-31
my-life-graphic-hoodie-for-men-and-women,,My go-to hoodie now. The graphic is cool and the fit is perfect. Definitely a conversation starter!,5,,Devika Choudhary,India,dev******@gmail.com,2024-02-13
my-life-graphic-hoodie-for-men-and-women,,This hoodie says it all for me. The fabric is soft and durable. I feel empowered whenever I wear it!,4,,Vikram Khanna,India,vik******@yahoo.com,2024-02-27
my-life-graphic-hoodie-for-men-and-women,,Love the bold statement on this hoodie. Fits great and the material is top-notch. Definitely recommend getting one!,5,,Nandini Reddy,India,nan******@outlook.com,2024-03-10
my-life-graphic-hoodie-for-men-and-women,,Such a cool hoodie! The message is spot on. Comfortable to wear and the sizing is perfect. Will be buying more from this brand!,5,,Arjun Mehra,India,arj******@gmail.com,2024-03-20
